iter	Passed	Remaining
0	142	142550
1	146	73260
2	152	50613
3	156	39087
4	162	32327
5	166	27600
6	170	24192
7	175	21724
8	179	19813
9	183	18214
10	187	16892
11	191	15797
12	195	14868
13	200	14092
14	204	13446
15	209	12900
16	213	12364
17	217	11887
18	222	11483
19	226	11090
20	230	10733
21	235	10460
22	238	10148
23	242	9880
24	247	9654
25	251	9418
26	255	9203
27	259	8999
28	265	8906
29	270	8737
30	273	8561
31	277	8405
32	281	8240
33	283	8046
34	285	7863
35	287	7687
36	289	7521
37	291	7379
38	293	7228
39	295	7088
40	297	6955
41	299	6821
42	301	6718
43	303	6591
44	304	6467
45	306	6350
46	307	6237
47	308	6125
48	310	6016
49	311	5913
50	312	5813
51	313	5717
52	315	5633
53	316	5553
54	318	5470
55	319	5389
56	320	5309
57	322	5230
58	323	5156
59	324	5081
60	325	5012
61	326	4945
62	328	4883
63	330	4829
64	331	4768
65	332	4709
66	334	4652
67	335	4597
68	336	4541
69	337	4487
70	338	4434
71	340	4384
72	341	4335
73	342	4288
74	344	4245
75	345	4202
76	346	4158
77	348	4115
78	349	4073
79	350	4033
80	352	3995
81	353	3956
82	354	3912
83	355	3875
84	356	3839
85	357	3804
86	359	3773
87	361	3742
88	362	3712
89	363	3679
90	365	3646
91	366	3614
92	367	3582
93	368	3553
94	370	3524
95	371	3496
96	374	3482
97	375	3458
98	376	3430
99	378	3403
100	379	3376
101	380	3351
102	382	3329
103	383	3305
104	384	3281
105	386	3257
106	387	3233
107	388	3211
108	390	3189
109	391	3168
110	392	3146
111	394	3124
112	395	3102
113	396	3081
114	397	3061
115	398	3040
116	399	3017
117	401	2997
118	403	2984
119	405	2970
120	406	2951
121	407	2931
122	408	2913
123	409	2895
124	410	2876
125	412	2859
126	413	2840
127	414	2826
128	416	2812
129	417	2796
130	419	2781
131	420	2765
132	421	2750
133	423	2735
134	424	2720
135	425	2705
136	427	2690
137	428	2675
138	430	2666
139	432	2656
140	433	2643
141	434	2625
142	435	2612
143	437	2599
144	438	2585
145	439	2571
146	440	2558
147	442	2546
148	443	2535
149	445	2526
150	447	2515
151	448	2503
152	450	2492
153	451	2479
154	452	2467
155	453	2455
156	454	2442
157	456	2430
158	457	2418
159	458	2407
160	459	2394
161	460	2383
162	462	2372
163	463	2361
164	464	2349
165	465	2339
166	466	2327
167	467	2316
168	468	2305
169	470	2294
170	471	2283
171	472	2274
172	473	2264
173	475	2255
174	476	2246
175	477	2236
176	478	2226
177	480	2217
178	481	2207
179	482	2198
180	484	2190
181	485	2181
182	486	2172
183	487	2163
184	489	2155
185	490	2147
186	492	2141
187	493	2132
188	495	2124
189	496	2115
190	497	2107
191	498	2098
192	499	2090
193	501	2081
194	502	2073
195	503	2065
196	504	2057
197	506	2049
198	507	2041
199	508	2033
200	509	2025
